Model,Train Accuracy,Validation Accuracy,Test Accuracy,Precision,Recall,F1-score,Test Loss
MobileNetV2,0.791974663734436,0.8148148059844971,0.8498168587684631,0.8557579662605436,0.8350711684872558,0.8416495720449884,0.3582644462585449
DenseNet121,0.8099260926246643,0.8296296000480652,0.8424908518791199,0.8383296460176992,0.837471036080768,0.8378882244900777,0.36585840582847595
EfficientNetB3,0.7961985468864441,0.7777777910232544,0.831501841545105,0.8408599567619506,0.8131413439258524,0.8207024557395775,0.4119724929332733
InceptionV3,0.8078141212463379,0.8148148059844971,0.8278388381004333,0.8403761602344895,0.8075140681893413,0.8157233336684427,0.39327389001846313
ResNet50,0.8057022094726562,0.8296296000480652,0.8278388381004333,0.8237404070737404,0.8211684872558755,0.8223468328141226,0.3822409212589264
ConvNeXtTiny,0.8204857707023621,0.8148148059844971,0.8241758346557617,0.8189929716670328,0.820506454816286,0.8197028068244359,0.3424936532974243
EfficientNetB0,0.8099260926246643,0.8074073791503906,0.8241758346557617,0.8432539682539683,0.8006454816285998,0.8098223615464994,0.41248244047164917
Xception,0.7983104586601257,0.7407407164573669,0.7985348105430603,0.8118272841051314,0.7749089705395564,0.7825583247650356,0.4521823227405548
